accel_x, accel_y, accel_z
0.9973145,-0.263916,0.2839355
1.000488,-0.2595215,0.2851563
0.9924316,-0.2590332,0.2797852
0.9931641,-0.2568359,0.2897949
0.996582,-0.2556152,0.2915039
0.9985352,-0.2563477,0.286377
0.9936523,-0.2568359,0.2883301
0.9916992,-0.2600098,0.291748
0.9875488,-0.2590332,0.2922363
0.9912109,-0.2626953,0.2854004
0.9943848,-0.2602539,0.2822266
0.9929199,-0.2587891,0.2893066
0.9970703,-0.2561035,0.2766113
0.9956055,-0.2521973,0.286377
0.9897461,-0.2548828,0.2824707
0.9968262,-0.2609863,0.2805176
0.9899902,-0.2546387,0.2963867
0.996582,-0.2546387,0.2895508
