accel_x, accel_y, accel_z
1.030029,-0.1181641,-0.04150391
1.050049,-0.1208496,-0.04052734
1.02417,-0.1164551,-0.03735352
1.031738,-0.1098633,-0.05541992
1.037598,-0.126709,-0.04174805
1.025879,-0.1159668,-0.04077148
1.02832,-0.1225586,-0.05004883
1.023193,-0.1154785,-0.04003906
1.038086,-0.1247559,-0.04785156
1.0354,-0.1169434,-0.04321289
1.0354,-0.1225586,-0.04443359
1.032959,-0.1193848,-0.05126953
1.023926,-0.1118164,-0.04150391
1.041748,-0.1289063,-0.03881836
1.031982,-0.1201172,-0.04052734
1.032959,-0.1176758,-0.0456543
