accel_x, accel_y, accel_z
0.9914551,-0.2868652,0.3393555
0.987793,-0.2756348,0.3435059
0.9873047,-0.2819824,0.3337402
0.9885254,-0.2856445,0.3430176
0.9909668,-0.2814941,0.3393555
0.9838867,-0.2824707,0.333252
0.9897461,-0.2832031,0.3442383
0.9902344,-0.2888184,0.3334961
0.9836426,-0.2834473,0.3273926
0.989502,-0.2856445,0.3388672
0.9829102,-0.282959,0.3481445
0.9919434,-0.2832031,0.3242188
0.9936523,-0.2841797,0.3447266
0.9924316,-0.2834473,0.3312988
0.986084,-0.2756348,0.3376465
0.9880371,-0.2785645,0.3349609
0.9897461,-0.2773438,0.3327637
0.9912109,-0.2849121,0.3354492
0.9833984,-0.2790527,0.3479004
0.9504395,-0.3574219,0.3459473
0.9621582,-0.3649902,0.3366699
0.949707,-0.3657227,0.345459
0.9633789,-0.3815918,0.3481445
0.9577637,-0.3730469,0.3449707
0.9682617,-0.3728027,0.3417969
0.953125,-0.3613281,0.3505859
0.9621582,-0.373291,0.3415527
0.9504395,-0.3583984,0.34375
0.9619141,-0.3674316,0.3364258
0.9516602,-0.3613281,0.3498535
0.9555664,-0.3713379,0.3356934
0.9467773,-0.3747559,0.3405762
0.9592285,-0.371582,0.3479004
0.9587402,-0.3742676,0.3444824
0.9536133,-0.3686523,0.3344727
0.9609375,-0.3654785,0.3439941
0.9619141,-0.3706055,0.3417969
